Species1,Species2,MedianDistance
CAPHI,GEOSA,0.08158548750000001
CAPHI,GORGO,0.110281759
CAPHI,GYMAC,0.5510956509999999
CAPHI,HETGA,0.12490079999999999
CAPHI,HIPAR,0.09801163299999999
CAPHI,HUMAN,0.08224581
CAPHI,HYLLA,0.052894877
CAPHI,ICTPU,0.41027042999999996
CAPHI,LATCH,0.204895249
CAPHI,LEPWE,0.0611731745
CAPHI,LOXAF,0.06711998799999999
CAPHI,MARMA,0.056119283
CAPHI,MELGA,0.101723489
CAPHI,MELUD,0.11585254249999999
CAPHI,MERPO,1.948830438
CAPHI,MICMU,0.046127325
CAPHI,MICOH,0.049168922
CAPHI,MONDO,0.098319795
CAPHI,MONMO,0.0638858895
CAPHI,MOUSE,0.060886926999999993
CAPHI,MUSCR,0.064807625
CAPHI,MUSPF,0.072527206
CAPHI,MYOLU,0.069133201
CAPHI,MYOPI,0.057504225
CAPHI,NAJNA,0.142936918
CAPHI,NEOAA,0.0772156705
CAPHI,NEOSC,0.073087156
CAPHI,NOMLE,0.052894845999999995
CAPHI,NOTPE,0.12978414
CAPHI,OCTDE,0.077066632
CAPHI,ODORO,0.065293815
CAPHI,ODOVR,0.07264456999999999
CAPHI,ORNAN,0.11534857300000001
CAPHI,ORYAF,0.067048294
CAPHI,PANGU,0.337924646
CAPHI,PANPR,0.057632607999999995
CAPHI,PANTR,0.044055307
CAPHI,PARLB,0.100640372
CAPHI,PATFA,0.1818752595
CAPHI,PELSI,0.099304703
CAPHI,PHACI,0.082164839
CAPHI,PHOSS,0.08438227000000001
CAPHI,PHYMC,0.07944646
CAPHI,PONAB,0.046209485999999994
CAPHI,PONPY,0.046209491
CAPHI,PROSS,0.042169396
CAPHI,PSETE,0.144128741
CAPHI,PTEVA,0.119911818
CAPHI,PUMCO,0.072297827
CAPHI,PYTBI,0.129927142
CAPHI,RAT,0.052454955
CAPHI,RHIFE,0.102084055
CAPHI,RHIRO,0.043365809
CAPHI,SACKO,1.744532476
CAPHI,SAGOE,0.29069783099999996
CAPHI,SALNM,0.43154245799999996
CAPHI,SAPAP,0.052897159
CAPHI,SARHA,0.09675613999999999
CAPHI,SCHHA,5.079067495
CAPHI,SURSU,0.06889683799999999
CAPHI,TAEGU,0.10018861500000001
CAPHI,TAPME,0.047991069
CAPHI,TRASC,0.097554138
CAPHI,TRIMA,0.1171911055
CAPHI,TURTR,0.07721567
CAPHI,TYLPA,0.076839992
CAPHI,UROPR,0.056119283
CAPHI,URSMA,0.134605018
CAPHI,VICPA,0.0813895245
CAPHI,VULVU,0.0666239285
CAPHI,XENLA,0.11027951750000001
CAPHI,XENTR,0.10166292199999999
CAPHI,ZALCA,0.068108699
CASCN,9AMPH,0.07742052299999999
CASCN,9CHIR,0.061126935
CASCN,9PASS,0.3094605195
CASCN,9PRIM,0.054947909
CASCN,9SAUR,0.45930006
CASCN,ACIJB,0.022696975
CASCN,AILME,0.020465721
CASCN,ARCCL,0.153305307
CASCN,ASEST,0.171433299
CASCN,ATHCN,0.317985283
CASCN,BALAC,0.081341489
CASCN,BALMU,0.081338984
CASCN,BISBB,0.08354355299999999
CASCN,BOSGR,0.0717269345
CASCN,BOSIN,0.0717269395
CASCN,BOVIN,0.0845556415
CASCN,CALJA,0.108673195
CASCN,CALUR,0.045901342
CASCN,CAMBA,0.0394294875
CASCN,CAMFR,0.037913803999999995
CASCN,CANLF,0.16401732600000002
CASCN,CASCN,0.002411318
CASCN,CATUS,0.311780959
CASCN,CAVPO,0.056304071
CASCN,CEBIM,0.075001383
CASCN,CHICK,0.282456144
CASCN,CHILA,0.072435289
CASCN,CHRAS,0.079417563
CASCN,COEFR,0.18000253900000002
CASCN,COTJA,0.317571716
CASCN,CRIGR,0.059637382
CASCN,CYNSP,0.137518984
CASCN,DELLE,0.113554089
CASCN,DIPOR,0.16952665700000003
CASCN,ECHTE,0.166168371
CASCN,EOSFB,0.06338749
CASCN,EQUAS,0.11551589649999999
CASCN,EQUPR,0.077321842
CASCN,ERIEU,0.0726507665
CASCN,FELCA,0.022347021
CASCN,GEOSA,0.067870809
CASCN,GORGO,0.1470404205
CASCN,HETGA,0.132205678
CASCN,HIPAR,0.175201061
CASCN,HUMAN,0.099339811
CASCN,HYLLA,0.060199755
CASCN,LEPWE,0.13836260250000001
CASCN,LOXAF,0.074424866
CASCN,MARMA,0.063424161
CASCN,MICMU,0.055843501000000004
CASCN,MICOH,0.0564738
CASCN,MONMO,0.0711907675
CASCN,MOUSE,0.0689304955
CASCN,MUSCR,0.072112503
CASCN,MUSPF,0.029367204
CASCN,MYOPI,0.064809103
CASCN,NEOAA,0.09168715799999999
CASCN,NEOSC,0.058876497
CASCN,NOMLE,0.059822615999999995
CASCN,OCTDE,0.15425606000000003
CASCN,ODORO,0.137074724
CASCN,ODOVR,0.079949448
CASCN,ORYAF,0.057790789999999995
CASCN,PANGU,0.34522952399999995
CASCN,PANPR,0.027534238
CASCN,PANTR,0.05218639
CASCN,PHOSS,0.091687148
CASCN,PHYMC,0.0891626435
CASCN,PONAB,0.053514364
CASCN,PONPY,0.053514369
CASCN,PROSS,0.055085571
CASCN,PTEVA,0.127735653
CASCN,PUMCO,0.113522299
CASCN,RAT,0.059759833
CASCN,RHIFE,0.179273483
CASCN,RHIRO,0.050670687
CASCN,SAGOE,0.36788725899999997
CASCN,SAPAP,0.060202037
CASCN,SURSU,0.021933772
CASCN,TAEGU,0.328742954
CASCN,TAPME,0.055295947
CASCN,TRIMA,0.12449597599999998
CASCN,TURTR,0.091310052
CASCN,TYLPA,0.15402942
CASCN,UROPR,0.063424161
CASCN,URSMA,0.21179444600000003
CASCN,VICPA,0.038488767
CASCN,VULVU,0.021948240499999997
CASCN,ZALCA,0.044359665
CATUS,9AMPH,0.1844217495
CATUS,9ANUR,0.21440079799999998
CATUS,9AVES,0.12584722250000002
CATUS,9CHIR,0.197698539
CATUS,9CICH,0.5451212249999999
CATUS,9PASE,0.099450636
CATUS,9PASS,0.303366347
CATUS,9PLAT,4.0344060465
CATUS,9PRIM,0.164084338
CATUS,9SAUR,0.1715751915
CATUS,9TELE,0.5832770174999999
CATUS,ACIJB,0.174670726
CATUS,ACIOX,0.248436263
CATUS,AILME,0.17981672699999998
CATUS,ALLSI,0.117092556
CATUS,ARAGI,0.8028299725
CATUS,ARCCL,0.18355612899999998
CATUS,ASEST,0.212200864
CATUS,ATHCN,0.2007086495
CATUS,AUSLI,0.5503889365
CATUS,AYTFU,0.146922668
CATUS,BALAC,0.190477928
CATUS,BALMU,0.191991099
CATUS,BETSP,0.5392794089999999
CATUS,BISBB,0.194195668
CATUS,BOSGR,0.182379044
CATUS,BOSIN,0.204562907
CATUS,BOVIN,0.1903264935
CATUS,CALJA,0.21932531
CATUS,CALUR,0.18760736899999997
CATUS,CAMBA,0.18338723299999998
CATUS,CAMFR,0.17961983099999998
CATUS,CANLF,0.19952651949999997
CATUS,CASCN,0.19828654199999998
CATUS,CATUS,0.23787802550000003
CATUS,CAVPO,0.166956186
CATUS,CEBIM,0.185653498
CATUS,CHACN,0.413243449
CATUS,CHEAB,0.127260904
CATUS,CHESE,0.12723256
CATUS,CHICK,0.126948362
CATUS,CHILA,0.183087404
CATUS,CHRAS,0.192038683
CATUS,CLUHA,0.531936886
CATUS,COEFR,0.22077010399999997
CATUS,COTCN,3.169254053
CATUS,COTGO,0.528791507
CATUS,COTJA,0.2935143415
CATUS,CRIGR,0.17028949699999998
CATUS,CROPO,0.108058962
CATUS,CYACU,0.103197102
CATUS,CYNSP,0.248171099
CATUS,DANRE,0.541208656
CATUS,DELLE,0.224206204
CATUS,DIPOR,0.210294201
CATUS,ECHTE,0.2016775645
CATUS,EOSFB,0.174039605
CATUS,EQUAS,0.15102509
CATUS,EQUPR,0.1759415405
CATUS,ERIEU,0.1818151505
CATUS,EUBMA,0.148775032
CATUS,FELCA,0.179310514
CATUS,FICAL,0.145324124
CATUS,GEKGE,0.13941963400000001
CATUS,GEOFO,0.140882193
CATUS,GEOSA,0.188270802
CATUS,GORGO,0.2526227205
CATUS,GYMAC,0.5824021119999999
CATUS,HETGA,0.242857793
CATUS,HIPAR,0.215968626
CATUS,HUMAN,0.210153217
CATUS,HYLLA,0.17085187
CATUS,ICTPU,0.441576891
CATUS,LATCH,0.23620171
CATUS,LEPWE,0.17815847299999998
CATUS,LOXAF,0.185076981
CATUS,MARMA,0.174076276
CATUS,MELGA,0.1068081355
CATUS,MELUD,0.106637035
CATUS,MERPO,1.980136899
CATUS,MICMU,0.164084318
CATUS,MICOH,0.167125915
CATUS,MONDO,0.129626256
CATUS,MONMO,0.1818428825
CATUS,MOUSE,0.17884392
CATUS,MUSCR,0.182764618
CATUS,MUSPF,0.180242822
CATUS,MYOPI,0.175461218
CATUS,NEOAA,0.206373804
CATUS,NEOSC,0.18765447799999999
CATUS,NOMLE,0.205690507
CATUS,OCTDE,0.19502362499999998
CATUS,ODORO,0.178474657
CATUS,ODOVR,0.190601563
CATUS,ORNAN,0.14665503400000002
CATUS,ORYAF,0.185005287
CATUS,PANGU,0.455881639
CATUS,PANPR,0.17558960099999998
CATUS,PANTR,0.1620123
CATUS,PARLB,0.20206731549999998
CATUS,PATFA,0.211365193
CATUS,PELSI,0.130611164
CATUS,PHOSS,0.202339263
CATUS,PHYMC,0.20249736299999999
CATUS,PONAB,0.16416647899999998
CATUS,PONPY,0.16416648399999997
CATUS,PROSS,0.1649798455
CATUS,PTEVA,0.23786881099999999
CATUS,PUMCO,0.19025482
CATUS,RAT,0.170411948
CATUS,RHIFE,0.220041048
CATUS,RHIRO,0.161322802
CATUS,SACKO,1.775838937
CATUS,SAGOE,0.4033964525
CATUS,SALNM,0.462848919
CATUS,SAPAP,0.17085415199999998
CATUS,SARHA,0.1071566095
CATUS,SCHHA,5.110373956
CATUS,SURSU,0.18180901500000002
CATUS,TAEGU,0.148702269
CATUS,TAPME,0.165948062
CATUS,TRASC,0.128860599
CATUS,TRIMA,0.235148102
CATUS,TURTR,0.197080904
CATUS,TYLPA,0.18953861349999998
CATUS,UROPR,0.174076276
CATUS,URSMA,0.24730363949999998
CATUS,VICPA,0.197845125
CATUS,VULVU,0.182932513
CATUS,XENLA,0.212914518
CATUS,XENTR,0.20467835099999998
CATUS,ZALCA,0.18606569199999998
CAVPO,9CHIR,0.015022806
CAVPO,9PRIM,0.008394976
CAVPO,9SAUR,0.414262813
CAVPO,BALAC,0.034788561
CAVPO,BALMU,0.036301737
CAVPO,BISBB,0.038506306
CAVPO,BOSGR,0.026689682
CAVPO,BOSIN,0.026689690000000002
CAVPO,BOVIN,0.033292591499999996
CAVPO,CALJA,0.063635948
CAVPO,CAVPO,1e-08
CAVPO,CEBIM,0.029964136000000002
CAVPO,CHILA,0.027398042
CAVPO,CHRAS,0.029916500000000002
CAVPO,CRIGR,0.014600135
CAVPO,CYNSP,0.092481737
CAVPO,DELLE,0.068516842
CAVPO,EOSFB,0.018350243
CAVPO,EQUPR,0.0307689265
CAVPO,ERIEU,0.0261257885
CAVPO,GORGO,0.07254938999999999
CAVPO,HETGA,0.08716843099999999
CAVPO,HUMAN,0.044513440999999994
CAVPO,HYLLA,0.015162508000000002
CAVPO,LOXAF,0.029387619
CAVPO,MARMA,0.018386914
CAVPO,MICMU,0.008394956
CAVPO,MONMO,0.0261535205
CAVPO,MOUSE,0.023154558
CAVPO,MUSCR,0.027075256
CAVPO,MYOPI,0.019771856
CAVPO,NEOAA,0.0394833015
CAVPO,NOMLE,0.010397956
CAVPO,ODOVR,0.034912201
CAVPO,PANGU,0.300192277
CAVPO,PANTR,0.006322938
CAVPO,PHOSS,0.046649901
CAVPO,PHYMC,0.04171409449999999
CAVPO,PONAB,0.008477117
CAVPO,PONPY,0.008477122
CAVPO,PROSS,0.009290483499999998
CAVPO,PTEVA,0.08217944899999999
CAVPO,PUMCO,0.066969371
CAVPO,RAT,0.014722586
CAVPO,RHIRO,0.00563344
CAVPO,SAPAP,0.015164790000000001
CAVPO,TAPME,0.010258699999999999
CAVPO,TRIMA,0.078272959
CAVPO,TURTR,0.039483301
CAVPO,UROPR,0.018386914
CEBIM,9SAUR,0.413901969
CEBIM,BALAC,0.029965959
CEBIM,BALMU,0.031479135000000005
CEBIM,BISBB,0.033683703999999995
CEBIM,BOSGR,0.02186708
CEBIM,BOSIN,0.021867088
CEBIM,BOVIN,0.0284699895
CEBIM,CALJA,0.063275104
CEBIM,CHILA,0.046095284
CEBIM,CHRAS,0.0826349905
CEBIM,CYNSP,0.092120893
CEBIM,DELLE,0.06369424
CEBIM,EOSFB,0.017989399
CEBIM,ERIEU,0.0213031865
CEBIM,GORGO,0.07218854599999999
CEBIM,HETGA,0.08680758699999999
CEBIM,HUMAN,0.04334940599999999
CEBIM,HYLLA,0.014801663999999999
CEBIM,MARMA,0.018026069999999998
CEBIM,MONMO,0.0213309185
CEBIM,NEOAA,0.034660699499999996
CEBIM,NOMLE,0.024330711
CEBIM,PANGU,0.299831433
CEBIM,PANTR,0.025109508500000002
CEBIM,PHOSS,0.041827299
CEBIM,PHYMC,0.0368914925
CEBIM,PONAB,0.027174403
CEBIM,PONPY,0.027174408
CEBIM,PTEVA,0.08181860499999999
CEBIM,PUMCO,0.066608527
CEBIM,SAPAP,0.014799356000000001
CEBIM,TAPME,0.028955942
CEBIM,TRIMA,0.077912115
CEBIM,TURTR,0.034660699
CEBIM,UROPR,0.018026069999999998
CHACN,9AMPH,0.37664570349999993
CHACN,9CHIR,0.36386934499999996
CHACN,9PASS,0.54184672
CHACN,9PRIM,0.35579752499999995
CHACN,9SAUR,0.761665362
CHACN,ACIJB,0.367813536
CHACN,ACIOX,0.2387113585
CHACN,AILME,0.379895463
CHACN,ARCCL,0.385786059
CHACN,ASEST,0.403914051
CHACN,ATHCN,0.378212524
CHACN,AYTFU,0.307340595
CHACN,BALAC,0.38312506399999996
CHACN,BALMU,0.38370428599999995
CHACN,BISBB,0.385908855
CHACN,BOSGR,0.374092231
CHACN,BOSIN,0.37511376799999996
CHACN,BOVIN,0.380600589
CHACN,CALJA,0.41103849699999995
CHACN,CALUR,0.379320556
CHACN,CAMBA,0.37510042050000003
CHACN,CAMFR,0.371333018
CHACN,CANLF,0.396498078
CHACN,CASCN,0.389886312
CHACN,CATUS,0.45775202699999995
CHACN,CAVPO,0.358669373
CHACN,CEBIM,0.377366685
CHACN,CHACN,0.004350441
CHACN,CHICK,0.29150013799999996
CHACN,CHILA,0.37480059099999996
CHACN,CHRAS,0.37834058299999995
CHACN,COEFR,0.412483291
CHACN,COTJA,0.550052468
CHACN,CRIGR,0.36200268399999996
CHACN,CYNSP,0.43988428599999996
CHACN,DELLE,0.41591939099999997
CHACN,DIPOR,0.403028929
CHACN,ECHTE,0.398649123
CHACN,EOSFB,0.365752792
CHACN,EQUAS,0.34790209699999997
CHACN,EQUPR,0.348193088
CHACN,ERIEU,0.37362630249999995
CHACN,FELCA,0.3745224925
CHACN,FICAL,0.373166659
CHACN,GEKGE,0.29111612499999995
CHACN,GEOSA,0.38100552299999996
CHACN,GORGO,0.41985738749999996
CHACN,HETGA,0.43457097999999994
CHACN,HIPAR,0.407681813
CHACN,HUMAN,0.39191599
CHACN,HYLLA,0.36256505699999997
CHACN,LEPWE,0.37074880299999996
CHACN,LOXAF,0.376790168
CHACN,MARMA,0.365789463
CHACN,MICMU,0.35681902899999995
CHACN,MICOH,0.358839102
CHACN,MONMO,0.3735560695
CHACN,MOUSE,0.37046255549999996
CHACN,MUSCR,0.374477805
CHACN,MUSPF,0.381837076
CHACN,MYOPI,0.367174405
CHACN,NEOAA,0.386791299
CHACN,NEOSC,0.382757336
CHACN,NOMLE,0.36256502599999996
CHACN,OCTDE,0.38664226049999995
CHACN,ODORO,0.373762114
CHACN,ODOVR,0.38231475
CHACN,ORYAF,0.37671847399999997
CHACN,PANGU,0.647594826
CHACN,PANPR,0.368324322
CHACN,PANTR,0.35372548699999995
CHACN,PARLB,0.399038874
CHACN,PATFA,0.37178312
CHACN,PHOSS,0.39405245
CHACN,PHYMC,0.3901381665
CHACN,PONAB,0.355879666
CHACN,PONPY,0.355879671
CHACN,PROSS,0.35659848099999997
CHACN,PTEVA,0.4292674234999999
CHACN,PUMCO,0.382989541
CHACN,RAT,0.362125135
CHACN,RHIFE,0.41175423
CHACN,RHIRO,0.353035989
CHACN,SAGOE,0.600368011
CHACN,SAPAP,0.362567339
CHACN,SARHA,0.288480548
CHACN,SURSU,0.378567018
CHACN,TAEGU,0.291913003
CHACN,TAPME,0.35766124899999996
CHACN,TRIMA,0.42669704199999997
CHACN,TURTR,0.38679129849999994
CHACN,TYLPA,0.386510172
CHACN,UROPR,0.365789463
CHACN,URSMA,0.444275198
CHACN,VICPA,0.390965153
CHACN,VULVU,0.3762941085
CHACN,XENLA,0.408583468
CHACN,XENTR,0.40108295299999996
CHACN,ZALCA,0.377778879
CHEAB,9AMPH,0.090152394
CHEAB,9CHIR,0.07788679999999999
CHEAB,9CICH,0.438197007
CHEAB,9PASS,0.2559587265
CHEAB,9PLAT,3.9409366845
CHEAB,9PRIM,0.06981498
CHEAB,9SAUR,0.02679732
CHEAB,9TELE,0.4480602305
CHEAB,ACIJB,0.08132023299999999
CHEAB,ACIOX,0.14151204499999998
CHEAB,AILME,0.09391291800000001
CHEAB,ARAGI,0.7093606105000001
CHEAB,ARCCL,0.09980351400000001
CHEAB,ASEST,0.11793150599999999
CHEAB,ATHCN,0.11087037899999999
CHEAB,AUSLI,0.4434647185
CHEAB,AYTFU,0.039998450000000005
CHEAB,BALAC,0.0962085675
CHEAB,BALMU,0.097721741
CHEAB,BETSP,0.432355186
CHEAB,BISBB,0.09992630999999999
CHEAB,BOSGR,0.08810968599999999
CHEAB,BOSIN,0.088109699
CHEAB,BOVIN,0.0947125955
CHEAB,CALJA,0.125055952
CHEAB,CALUR,0.093338011
CHEAB,CAMBA,0.0891178755
CHEAB,CAMFR,0.08535047300000001
CHEAB,CANLF,0.110515533
CHEAB,CASCN,0.103259341
CHEAB,CATUS,0.1811842335
CHEAB,CAVPO,0.07268682800000001
CHEAB,CEBIM,0.09138414
CHEAB,CHACN,0.306319231
CHEAB,CHESE,0.003388916
CHEAB,CHICK,0.023136458999999998
CHEAB,CHILA,0.088818046
CHEAB,CHRAS,0.091336504
CHEAB,CLUHA,0.425012668
CHEAB,COEFR,0.126500746
CHEAB,COTCN,3.0623298350000003
CHEAB,COTGO,0.421867289
CHEAB,COTJA,0.264069923
CHEAB,CRIGR,0.076020139
CHEAB,CYNSP,0.15390174099999998
CHEAB,DANRE,0.4360065835
CHEAB,DELLE,0.129936846
CHEAB,DIPOR,0.116024864
CHEAB,ECHTE,0.112666578
CHEAB,EOSFB,0.079770247
CHEAB,EQUAS,0.0620141035
CHEAB,EQUPR,0.061189014
CHEAB,ERIEU,0.0875457925
CHEAB,EUBMA,0.041850814
CHEAB,FELCA,0.088634499
CHEAB,FICAL,0.105824514
CHEAB,GEKGE,0.032495416
CHEAB,GEOSA,0.09400144449999999
CHEAB,GORGO,0.13396939400000002
CHEAB,GYMAC,0.475477894
CHEAB,HETGA,0.148588435
CHEAB,HIPAR,0.121699268
CHEAB,HUMAN,0.10593344499999999
CHEAB,HYLLA,0.07658251199999999
CHEAB,ICTPU,0.334652673
CHEAB,LATCH,0.129277492
CHEAB,LEPWE,0.0848608095
CHEAB,LOXAF,0.090807623
CHEAB,MARMA,0.079806918
CHEAB,MERPO,1.873212681
CHEAB,MICMU,0.06981496
CHEAB,MICOH,0.072856557
CHEAB,MONDO,0.022702038
CHEAB,MONMO,0.0875735245
CHEAB,MOUSE,0.08457456199999999
CHEAB,MUSCR,0.08849525999999999
CHEAB,MUSPF,0.096214841
CHEAB,MYOPI,0.08119186
CHEAB,NEOAA,0.1009033055
CHEAB,NEOSC,0.096774791
CHEAB,NOMLE,0.076582481
CHEAB,OCTDE,0.100754267
CHEAB,ODORO,0.08898145
CHEAB,ODOVR,0.096332205
CHEAB,ORNAN,0.039730816
CHEAB,ORYAF,0.09073592899999999
CHEAB,PANGU,0.361612281
CHEAB,PANPR,0.081320243
CHEAB,PANTR,0.067742942
CHEAB,PARLB,0.113056329
CHEAB,PATFA,0.10444097499999999
CHEAB,PELSI,0.00676756
CHEAB,PHOSS,0.108069905
CHEAB,PHYMC,0.1031340985
CHEAB,PONAB,0.069897121
CHEAB,PONPY,0.069897126
CHEAB,PROSS,0.0707104875
CHEAB,PTEVA,0.143599453
CHEAB,PUMCO,0.095985462
CHEAB,RAT,0.07614259
CHEAB,RHIFE,0.12577169
CHEAB,RHIRO,0.067053444
CHEAB,SACKO,1.668914719
CHEAB,SAGOE,0.314385466
CHEAB,SALNM,0.355924701
CHEAB,SAPAP,0.076584794
CHEAB,SARHA,0.021138383
CHEAB,SCHHA,5.0034497380000005
CHEAB,SURSU,0.092584473
CHEAB,TAEGU,0.024570858
CHEAB,TAPME,0.071678704
CHEAB,TRASC,0.005016955
CHEAB,TRIMA,0.140878738
CHEAB,TURTR,0.100903305
CHEAB,TYLPA,0.10052762700000001
CHEAB,UROPR,0.079806918
CHEAB,URSMA,0.158292653
CHEAB,VICPA,0.10507715950000002
CHEAB,VULVU,0.0903115635
CHEAB,XENLA,0.1226954745
CHEAB,XENTR,0.114078879
CHEAB,ZALCA,0.09179633400000001
CHESE,9AMPH,0.09012405
CHESE,9CHIR,0.07785845599999999
CHESE,9CICH,0.438168663
CHESE,9PASS,0.2559303825
CHESE,9PLAT,3.9409083405
CHESE,9PRIM,0.069786636
CHESE,9SAUR,0.026768965999999998
CHESE,9TELE,0.44803188650000003
CHESE,ACIJB,0.081291889
CHESE,ACIOX,0.14148370100000002
CHESE,AILME,0.093884574
CHESE,ARAGI,0.7093322664999999
CHESE,ARCCL,0.09977517
CHESE,ASEST,0.117903162
CHESE,ATHCN,0.11084203499999999
CHESE,AUSLI,0.44343637449999995
CHESE,AYTFU,0.039970106000000005
CHESE,BALAC,0.0961802235
CHESE,BALMU,0.097693397
CHESE,BETSP,0.432326842
CHESE,BISBB,0.099897966
CHESE,BOSGR,0.088081342
CHESE,BOSIN,0.088081355
CHESE,BOVIN,0.0946842515
CHESE,CALJA,0.125027608
CHESE,CALUR,0.093309667
CHESE,CAMBA,0.0890895315
CHESE,CAMFR,0.085322129
CHESE,CANLF,0.110487189
CHESE,CASCN,0.10323099699999999
CHESE,CATUS,0.18115588950000003
CHESE,CAVPO,0.07265848400000001
CHESE,CEBIM,0.091355796
CHESE,CHACN,0.306290887
CHESE,CHICK,0.023108115
CHESE,CHILA,0.088789702
CHESE,CHRAS,0.09130816
CHESE,CLUHA,0.42498432399999997
CHESE,COEFR,0.12647240199999998
CHESE,COTCN,3.0623014910000004
CHESE,COTGO,0.42183894499999997
CHESE,COTJA,0.264041579
CHESE,CRIGR,0.075991795
CHESE,CYNSP,0.153873397
CHESE,DANRE,0.43597823950000003
CHESE,DELLE,0.12990850199999998
CHESE,DIPOR,0.11599652
CHESE,ECHTE,0.112638234
CHESE,EOSFB,0.079741903
CHESE,EQUAS,0.0619857595
CHESE,EQUPR,0.06116067
CHESE,ERIEU,0.0875174485
CHESE,EUBMA,0.04182247
CHESE,FELCA,0.088606155
CHESE,FICAL,0.10579617
CHESE,GEKGE,0.032467072
CHESE,GEOSA,0.0939731005
CHESE,GORGO,0.13394105
CHESE,GYMAC,0.47544955
CHESE,HETGA,0.148560091
CHESE,HIPAR,0.121670924
CHESE,HUMAN,0.105905101
CHESE,HYLLA,0.076554168
CHESE,ICTPU,0.334624329
CHESE,LATCH,0.129249148
CHESE,LEPWE,0.08483246550000001
CHESE,LOXAF,0.09077927899999999
CHESE,MARMA,0.07977857399999999
CHESE,MERPO,1.873184337
CHESE,MICMU,0.069786616
CHESE,MICOH,0.072828213
CHESE,MONDO,0.022673694
CHESE,MONMO,0.0875451805
CHESE,MOUSE,0.08454621799999999
CHESE,MUSCR,0.08846691599999999
CHESE,MUSPF,0.09618649700000001
CHESE,MYOPI,0.08116351599999999
CHESE,NEOAA,0.1008749615
CHESE,NEOSC,0.09674644700000001
CHESE,NOMLE,0.076554137
CHESE,OCTDE,0.10072592300000001
CHESE,ODORO,0.088953106
CHESE,ODOVR,0.09630386099999999
CHESE,ORNAN,0.039702472
CHESE,ORYAF,0.09070758500000001
CHESE,PANGU,0.36158393699999997
CHESE,PANPR,0.081291899
CHESE,PANTR,0.067714598
CHESE,PARLB,0.113027985
CHESE,PATFA,0.10441263099999999
CHESE,PELSI,0.006739216
CHESE,PHOSS,0.10804156100000001
CHESE,PHYMC,0.1031057545
CHESE,PONAB,0.069868777
CHESE,PONPY,0.069868782
CHESE,PROSS,0.07068214349999999
CHESE,PTEVA,0.143571109
CHESE,PUMCO,0.09595711800000001
CHESE,RAT,0.076114246
CHESE,RHIFE,0.125743346
CHESE,RHIRO,0.0670251
CHESE,SACKO,1.668886375
CHESE,SAGOE,0.314357122
CHESE,SALNM,0.355896357
CHESE,SAPAP,0.07655645
CHESE,SARHA,0.021110039
CHESE,SCHHA,5.003421394
CHESE,SURSU,0.092556129
CHESE,TAEGU,0.024542514
CHESE,TAPME,0.07165036
CHESE,TRASC,0.0049885910000000006
CHESE,TRIMA,0.140850394
CHESE,TURTR,0.100874961
CHESE,TYLPA,0.100499283
CHESE,UROPR,0.07977857399999999
CHESE,URSMA,0.158264309
CHESE,VICPA,0.1050488155
CHESE,VULVU,0.0902832195
CHESE,XENLA,0.1226671305
CHESE,XENTR,0.114050535
CHESE,ZALCA,0.09176799
CHICK,9AMPH,0.0978184225
CHICK,9ANUR,0.21219798650000002
CHICK,9AVES,0.06011827
CHICK,9CHIR,0.10495259000000001
CHICK,9CICH,0.458517893
CHICK,9PASE,0.1949123715
CHICK,9PASS,0.21676302
CHICK,9PLAT,4.0779935455
CHICK,9PRIM,0.076384064
CHICK,9SAUR,0.07009850200000001
CHICK,9TELE,0.5600681114999999
CHICK,ACIJB,0.08898624100000001
CHICK,ACIOX,0.1608844435
CHICK,AILME,0.09968196400000001
CHICK,ALLSI,0.0304892265
CHICK,ARAGI,0.826837742
CHICK,ARCCL,0.10746954
CHICK,ASEST,0.12559753199999998
CHICK,ATHCN,0.20604098650000002
CHICK,AUSLI,0.463785603
CHICK,AYTFU,0.0603193385
CHICK,BALAC,0.103874596
CHICK,BALMU,0.10538776700000001
CHICK,BETSP,0.45267607449999997
CHICK,BISBB,0.10759233600000001
CHICK,BOSGR,0.0957757065
CHICK,BOSIN,0.117859927
CHICK,BOVIN,0.10411528
CHICK,CALJA,0.13272197800000002
CHICK,CALUR,0.10100403699999999
CHICK,CAMBA,0.096783906
CHICK,CAMFR,0.093016499
CHICK,CANLF,0.117233069
CHICK,CASCN,0.110925367
CHICK,CATUS,0.257545146
CHICK,CAVPO,0.080352854
CHICK,CEBIM,0.09905016600000001
CHICK,CHACN,0.32620239399999995
CHICK,CHEAB,0.0406575745
CHICK,CHESE,0.0406292305
CHICK,CHICK,0.04345735
CHICK,CHILA,0.096484072
CHICK,CHRAS,0.10353837099999999
CHICK,CLUHA,0.44533355649999995
CHICK,COEFR,0.134166772
CHICK,COTCN,3.0826507234999996
CHICK,COTGO,0.44218817749999995
CHICK,COTJA,0.266869696
CHICK,CRIGR,0.083686165
CHICK,CROPO,0.021455632500000002
CHICK,CYACU,0.1296563485
CHICK,CYNSP,0.161567767
CHICK,DANRE,0.456580104
CHICK,DELLE,0.137602872
CHICK,DIPOR,0.125354655
CHICK,ECHTE,0.119384114
CHICK,EOSFB,0.08743627300000001
CHICK,EQUAS,0.06885501749999999
CHICK,EQUPR,0.094988686
CHICK,ERIEU,0.094288252
CHICK,EUBMA,0.062171702499999995
CHICK,FELCA,0.09535203750000001
CHICK,FICAL,0.1261454025
